interest_rate,unemployment_rate,inflation_rate,gdp_growth_rate,labor_force_participation_rate,consumer_confidence_index,government_debt_to_gdp_ratio,exchange_rate,stock_market_index,housing_price_index,manufacturing_pmi,services_pmi,retail_sales_growth_rate,business_confidence_index,wage_growth_rate,exports_volume,imports_volume,government_revenue,government_spending,business_startups_rate,consumer_spending,investment_rate,savings_rate,tax_revenue,interest_coverage_ratio,bankruptcies_rate,business_closures_rate,consumer_debt_to_income_ratio,government_deficit_to_gdp_ratio
7.55,19.1,-1.84,4.62,21.51,138.73,72.66,2.6124,43750.29,120.81,7.16,83.74,-16.88,59.48,3.5,257215,901623,19394397,756240938,30.75,761756.38,42.26,26.55,86333971,80.99,7.26,7.43,179.05,7.35
3.37,3.92,1.12,9.62,23.69,13.72,58.77,1.6189,45712.34,55.48,89.14,61.25,8.76,76.27,9.49,189625,678111,448799029,949734463,32.24,942014.97,54.17,33.16,26651107,78.63,6.15,5.46,231.67,6.64
7.13,8.91,3.73,-5.35,46.28,195.29,118.5,2.3794,5459.3,56.86,33.76,48.42,14.49,89.86,6.36,954940,796888,397602852,124877403,73.81,417760.89,64.11,14.66,88441359,17.55,5.54,7.5,63.91,6.8
4.54,5.99,1.08,7.85,47.73,47.12,156.37,2.1268,25176.34,474.22,90.13,80.81,-17.24,136.63,9.67,371415,419117,997240186,756596385,61.34,768684.6,59.04,8.4,92345961,3.96,2.4,4.93,210.1,1.07
4.71,14.71,-2.99,4.78,49.12,122.79,72.92,0.0978,5069.01,407.18,44.68,66.46,12.55,28.29,3.82,862007,218333,16104340,963228588,6.85,150896.47,65.14,98.77,65292960,9.99,4.02,6.08,96.51,8.1
7.56,9.31,-2.46,-1.17,70.46,180.42,137.82,0.6913,9256.84,319.42,5.99,96.76,14.95,99.62,4.81,61361,5971,520546991,592540295,90.55,743109.42,96.28,95.24,9860557,66.4,5.54,7.77,480.62,2.11
7.15,15.62,-3.64,-9.85,52.26,122.26,117.85,1.9911,6883.36,157.31,98.38,96.78,-11.55,194.98,5.28,3054,273885,779810423,366738721,87.24,663209.0,85.34,34.31,20881977,98.25,6.44,9.48,235.85,4.69
7.03,17.87,1.67,0.36,21.15,4.08,95.67,1.1375,12922.13,154.29,79.46,2.29,-19.72,89.51,3.41,879378,343671,70765136,392865050,37.65,46298.8,83.62,97.57,13620995,89.59,5.0,5.67,91.75,4.41
5.86,5.87,-0.94,-5.81,1.13,141.93,24.29,2.7587,25062.32,478.83,37.68,73.48,3.19,154.59,1.35,54039,86884,577970154,647975474,98.63,28162.62,58.84,35.75,57123761,28.01,5.15,7.15,351.48,5.41
7.37,14.76,0.32,7.43,61.93,15.41,18.4,1.0739,23057.78,380.33,33.99,2.48,4.46,36.47,1.49,273278,921349,543536983,716467634,51.05,987921.72,14.09,1.83,60020585,35.43,7.9,2.15,457.07,4.25
3.25,16.58,-2.67,-7.95,76.66,157.68,17.76,0.71,36784.08,388.62,5.24,45.05,-0.81,129.49,0.95,889668,409189,435945882,611684576,27.78,461354.51,58.29,23.96,32891949,48.74,0.16,5.72,52.86,9.53
4.39,11.89,-2.24,9.8,83.64,23.41,189.13,2.435,10572.69,450.47,97.1,24.56,-12.86,62.33,2.06,85504,995474,974950175,306070550,82.57,712234.44,44.42,90.42,95807099,88.59,4.13,5.53,467.52,7.62
2.15,12.52,4.18,-3.34,22.14,108.02,134.05,1.2065,49372.61,426.22,68.08,3.62,-14.02,4.15,3.83,704325,852385,332986734,894956088,61.23,349774.94,13.95,62.36,36332379,58.29,7.33,5.01,440.12,0.05
3.0,14.78,2.13,-2.18,13.69,198.19,177.59,2.6102,38974.63,250.97,72.25,86.17,1.39,58.17,1.84,657582,712323,600595382,417403194,86.46,866532.96,48.69,72.97,40519065,71.34,9.02,9.24,108.41,0.44
6.83,16.53,4.24,-1.62,90.25,46.59,144.91,1.8506,48861.57,415.74,0.5,93.86,-15.09,170.54,8.26,119686,695928,944205119,132925507,21.34,952012.49,36.0,84.57,99624828,84.21,1.23,3.71,18.96,8.4
5.54,1.26,0.09,-6.06,97.07,186.13,72.26,1.4277,5383.14,50.13,19.91,59.8,11.5,158.29,5.68,36754,481930,915494100,120107748,85.75,731779.46,44.53,20.14,64219277,47.59,4.33,9.96,318.21,6.56
2.88,7.24,-1.27,-3.82,81.85,99.76,91.89,0.9877,11239.09,351.96,86.29,29.83,-19.41,122.07,2.93,59685,160847,43563318,767029897,95.62,357905.51,27.17,92.19,5925811,26.55,0.88,1.21,163.31,1.94
4.83,2.56,-1.63,-3.26,1.29,170.77,158.45,2.2751,3983.0,201.86,89.5,0.25,-12.52,156.2,9.57,825723,88908,246185685,659193675,14.27,909971.95,66.66,56.48,98980908,47.95,7.95,3.09,250.97,9.77
2.24,3.86,-2.4,8.35,50.22,151.29,196.31,0.1341,47521.88,378.88,5.77,31.91,-10.43,28.9,3.53,700762,100704,616435532,953889774,63.06,860175.73,66.33,61.67,9351973,12.76,1.59,9.92,66.67,9.31
5.08,7.07,1.02,-2.21,98.95,57.63,25.14,1.7981,47330.14,441.8,14.72,48.03,5.14,94.95,9.78,587830,824409,647882063,947929845,73.1,269750.6,71.72,66.18,22410800,57.28,4.89,2.04,94.54,3.54
2.97,3.58,-1.84,-8.61,36.97,131.0,184.56,1.6954,10542.39,386.46,4.8,8.82,-18.18,14.0,2.76,584465,269084,467044682,990863252,84.7,652278.29,62.71,48.06,31869544,30.68,8.53,4.58,41.18,1.16
0.54,12.65,4.49,0.3,9.88,16.26,187.67,1.1811,11188.02,297.75,59.05,85.82,3.89,4.85,4.57,151869,526475,705802536,891065011,31.62,663634.06,8.92,95.27,11439297,35.77,3.29,2.29,369.43,4.37
0.1,1.71,2.34,9.7,85.74,158.26,175.08,0.8255,44951.78,145.73,53.42,26.59,17.01,126.18,0.03,491955,230072,181212592,914900320,26.57,329966.22,12.28,74.6,58352003,13.93,8.69,9.38,77.82,2.52
2.59,11.18,0.41,-7.51,11.79,184.19,40.25,1.6667,25026.06,148.51,11.54,35.89,6.82,162.51,4.96,741004,754015,497731187,99062497,92.5,205110.35,47.53,80.65,77872079,62.78,8.88,3.0,236.92,0.1
2.49,13.51,-0.35,7.9,35.75,85.38,149.51,0.8854,2009.65,156.13,24.25,64.11,-17.51,160.63,9.19,898135,811737,564581037,218814817,58.28,664788.0,20.08,37.96,60255200,96.75,2.27,5.01,312.13,2.04
3.89,0.71,-1.55,-4.36,31.47,189.34,50.76,0.6031,42426.09,59.94,28.62,21.18,12.26,23.71,8.52,218435,693174,497380335,692692510,86.14,978424.73,6.53,36.61,56048152,11.86,5.07,8.68,204.59,7.58
5.21,8.44,3.06,2.08,31.44,39.63,95.67,2.5178,13406.03,362.31,21.05,64.79,-1.71,164.77,3.53,770371,128030,295600126,921610900,97.38,729651.81,77.08,4.96,78686697,9.9,7.05,2.07,166.38,7.48
7.21,10.81,4.82,-0.65,58.6,191.16,96.91,2.1581,27354.8,296.34,48.65,64.68,16.81,129.79,1.39,691527,603403,125795381,372919422,60.82,528810.59,89.42,4.16,37460721,69.44,0.78,4.66,51.22,3.57
4.95,1.76,0.17,-8.87,68.92,163.88,195.27,2.0802,19405.2,493.66,58.58,47.18,13.18,90.36,8.48,837694,791582,145253827,132732145,8.81,295744.21,38.46,86.52,64980754,11.7,5.1,3.95,31.51,6.88
6.16,3.22,-2.98,-6.53,79.73,190.29,60.47,0.5017,49307.75,305.72,6.72,47.84,-11.04,152.33,6.19,538540,363291,223512769,864642456,9.04,325000.04,3.96,19.56,83030605,0.14,8.4,7.04,0.41,5.9
9.51,7.53,3.87,0.78,1.56,85.63,141.06,1.0411,26193.38,285.31,12.46,70.55,11.04,180.63,3.99,780063,955176,615105514,45148475,63.96,815747.7,3.4,62.36,33061581,91.17,5.81,2.96,446.68,7.24
8.9,0.24,-2.07,5.45,85.97,69.68,86.98,0.037,25890.06,327.05,87.83,31.89,-17.84,131.87,9.0,74409,615741,240771277,500175266,58.57,77266.44,12.94,93.36,10476252,27.74,2.47,3.27,284.55,3.22
5.51,13.82,-1.08,1.97,49.88,15.42,30.02,2.1849,37247.55,51.4,1.96,69.25,-2.92,55.03,5.64,513139,665824,411875103,727662148,80.24,565.31,25.5,96.46,45077710,57.85,8.84,4.42,174.24,0.85
8.5,0.19,2.4,7.23,6.98,141.28,34.48,1.9809,17430.5,60.21,21.02,27.24,-17.55,71.87,3.71,354045,480573,805688951,842442462,16.38,733015.89,85.39,58.73,50245068,28.73,1.38,1.52,237.19,4.42
2.35,7.17,1.61,-4.85,86.48,88.24,198.61,0.5991,44318.73,218.47,10.07,83.43,-9.99,191.64,9.15,199762,63566,258991594,691319703,40.22,935442.43,20.39,34.45,74723693,0.58,5.39,4.98,429.62,7.83
5.91,5.07,-2.89,3.14,37.94,47.64,3.85,0.9388,33767.09,485.13,54.67,12.81,10.15,69.37,5.68,738940,754584,157851422,441629446,93.74,325340.58,81.12,79.66,39242857,45.79,6.69,5.37,424.02,9.36
2.99,15.51,-3.9,-7.71,10.18,8.64,142.6,1.2834,45761.98,133.82,98.93,74.46,-0.78,81.82,8.79,383125,147176,939059485,856568700,20.12,112330.98,55.58,71.47,44055065,89.65,2.7,1.46,342.67,6.93
8.35,13.81,0.01,7.4,62.8,152.63,112.75,1.2997,29449.21,354.4,92.95,52.89,10.68,92.57,6.6,802553,232067,363345792,714425574,62.16,638646.43,97.7,26.25,29127040,73.79,9.68,8.14,122.99,5.34
1.65,12.93,1.36,-8.25,97.63,162.65,161.32,0.4851,8472.06,199.81,47.98,71.55,16.71,39.2,0.94,953817,745202,263752749,281412535,22.77,719518.51,2.68,14.47,27342868,37.9,8.57,7.16,5.91,1.31
8.18,6.79,-0.12,3.47,93.28,184.97,192.52,1.739,19234.36,226.53,67.84,15.04,-0.85,27.73,1.92,406524,65359,839494817,29543297,28.06,106240.06,77.54,26.39,14542666,28.1,3.42,3.54,349.85,5.19
9.0,18.03,3.1,5.82,57.65,183.65,127.07,1.401,36894.06,222.67,35.61,99.64,-6.22,12.84,2.87,853452,32286,561903671,540426011,24.66,914928.0,98.65,81.09,40319205,25.06,6.17,4.41,250.08,7.64
1.21,9.17,-4.58,6.05,94.79,42.84,89.56,1.5998,19269.45,59.68,22.62,1.03,3.92,27.97,1.24,672139,8578,525563960,968063851,87.37,351173.3,77.88,93.92,213257,38.59,6.09,8.01,200.75,8.81
0.32,18.66,-3.17,-0.97,13.93,180.27,173.91,2.5268,12665.32,132.28,67.96,31.75,-7.93,11.25,6.81,374877,147595,765727455,138364048,87.1,181789.9,83.37,78.86,12415971,43.52,7.78,1.93,402.93,9.1
5.91,7.98,-0.57,-0.7,89.52,145.13,195.53,0.191,26978.14,188.83,43.99,32.95,-16.88,102.03,0.21,546890,7760,915215495,883205122,20.9,237688.3,22.34,60.13,50219176,91.36,7.09,5.28,10.27,3.63
3.08,19.2,-4.55,-5.7,42.26,181.39,100.95,2.1663,645.08,131.09,29.22,26.49,4.59,0.29,9.13,251946,141928,462430688,529158994,50.22,771740.94,68.31,41.76,63935854,94.89,8.76,6.73,460.98,0.19
9.99,14.72,1.16,-1.46,70.37,51.45,22.59,0.7406,6302.4,190.12,61.7,33.8,14.21,71.06,3.1,125947,84116,220425381,567416263,28.65,328824.27,69.2,15.45,69282303,97.33,1.64,5.7,46.0,9.73
8.17,13.19,1.72,2.36,46.86,52.96,166.3,2.9032,1207.03,363.92,74.14,25.02,2.19,129.36,5.35,234710,346950,682799393,774248193,63.58,129412.3,13.57,76.06,59603079,75.63,0.92,1.8,361.37,5.55
0.35,4.54,2.03,5.71,84.57,20.99,22.97,1.993,27053.11,485.19,76.03,48.59,4.92,11.77,1.3,976874,487745,823463006,4811456,5.05,871995.58,20.8,21.24,44772141,93.16,5.62,9.82,49.27,9.24
1.65,7.53,2.38,-5.26,99.59,167.65,181.58,2.0912,16041.7,357.72,80.2,93.71,-18.1,199.88,4.71,586389,900646,480622567,246474084,32.0,43293.35,22.13,65.32,15512652,58.93,4.02,8.18,62.51,7.97
3.95,3.31,0.94,-2.89,50.44,34.61,7.84,1.4204,3307.92,478.49,98.26,9.32,-14.4,38.71,9.62,939769,306528,730870865,426214681,90.68,354031.69,73.79,68.27,48927516,68.74,8.43,1.01,101.91,9.7
0.01,15.84,-4.36,9.65,78.03,193.18,73.86,1.4239,17049.25,236.4,0.33,8.18,-10.76,97.31,4.17,699996,759241,536104790,761957452,9.07,779175.59,43.47,91.15,45956783,79.04,0.71,2.45,145.19,1.89
5.31,12.43,-2.53,-7.6,81.95,95.35,96.6,0.3506,44573.56,366.5,51.55,0.59,-11.11,166.22,8.89,516127,848784,903423654,740046514,74.84,358737.83,60.03,0.12,79401027,59.88,5.95,7.9,328.86,5.53
6.48,8.73,1.54,6.89,47.67,195.26,103.05,2.5034,10721.45,146.9,23.9,40.16,-15.74,8.66,6.44,605153,148404,177481348,469068844,58.55,445140.36,45.63,94.56,17948291,99.51,4.66,6.87,480.01,6.32
0.89,11.67,-2.53,0.92,53.16,129.9,178.67,1.5343,48522.15,271.7,54.59,80.21,9.84,170.53,7.28,45447,898563,918882449,49043312,31.27,462536.9,7.5,99.92,97800061,82.1,0.89,7.38,491.33,4.54
3.76,12.05,-3.09,4.35,35.46,40.34,127.15,1.5641,45750.09,81.08,20.85,6.03,-10.23,186.81,9.73,592829,876358,469981979,214883,2.41,656610.1,14.86,76.77,1202371,12.93,3.3,6.92,73.85,7.91
9.59,5.11,-3.21,1.22,96.67,161.51,6.06,0.6746,44700.58,170.34,35.25,47.27,13.25,2.14,9.18,934711,243092,482152032,993201504,45.29,37397.93,42.56,51.41,15979922,20.5,6.52,7.46,481.54,5.0
7.84,0.96,4.6,7.82,73.02,158.12,19.22,1.1652,752.11,458.48,57.62,87.11,-9.91,1.42,4.28,737724,927293,721843340,830817018,45.63,70459.3,67.77,72.34,13321542,58.35,4.88,1.31,165.89,9.22
5.16,2.16,-3.73,-8.7,36.9,135.26,26.33,2.87,36789.06,469.89,45.06,44.42,10.95,189.62,8.82,811294,801562,838884163,404374929,75.18,869449.09,27.44,99.02,9270964,6.46,7.09,3.33,485.22,8.59
7.76,11.52,-2.94,-9.6,73.11,87.13,118.02,1.2463,2799.74,253.51,70.66,28.77,-9.82,29.98,3.96,35770,844306,951240964,65739616,63.74,714346.57,15.13,92.36,93625987,12.83,9.6,5.64,337.44,1.43
4.42,2.69,-3.01,7.35,81.6,18.5,56.31,2.0877,6689.6,399.15,28.5,13.35,-11.24,126.5,3.12,850629,353512,594755498,618780087,55.53,769224.07,59.42,8.62,939347,36.11,8.48,9.41,309.31,6.66
4.69,11.34,-1.44,-9.68,44.32,66.09,98.84,1.6286,17590.33,263.66,22.4,85.07,12.77,96.6,7.33,364432,535495,964716622,901272592,41.93,123292.51,81.89,42.12,64856014,12.87,0.78,1.87,320.86,0.65
5.47,10.91,2.39,-9.08,97.55,95.38,132.87,1.6007,6984.28,173.05,92.8,83.51,12.68,91.55,2.87,12836,87876,846669217,535322944,71.55,433888.85,88.82,51.34,48977465,91.48,4.38,7.15,128.6,3.37
0.41,12.41,3.39,-1.76,89.45,151.93,69.75,0.3843,39767.12,269.93,50.83,23.85,19.15,98.88,4.45,874568,77340,685866085,88998843,46.74,900058.25,34.27,48.8,37777901,44.23,4.97,8.54,67.18,2.02
2.62,4.59,0.7,6.52,29.49,174.06,59.64,1.9617,9929.04,113.85,33.42,68.04,-6.41,20.77,3.45,929976,194203,466127057,227995998,89.21,241658.13,22.75,76.72,3770029,30.87,9.15,8.7,463.36,6.31
2.08,14.49,3.53,-3.81,42.02,191.68,56.06,0.6565,20613.56,214.87,11.01,96.27,-3.61,136.26,8.98,569998,786398,391794193,613745135,9.66,855695.81,63.01,7.04,84483488,48.83,2.57,9.23,154.49,9.18
5.37,2.11,-0.52,8.44,6.54,80.03,142.38,2.9152,20137.43,388.05,94.83,14.17,12.48,24.85,9.09,616698,963872,740853978,39771085,84.14,856117.02,13.05,62.98,93547724,0.32,0.41,7.33,478.11,0.95
0.25,5.92,2.17,1.95,45.74,30.05,98.04,0.5422,34134.41,146.52,83.08,87.79,-7.38,126.48,6.66,693739,880016,254090890,841529791,77.45,801937.25,28.88,99.84,45207925,9.67,4.66,5.38,359.94,6.14
4.05,18.31,1.67,-8.65,82.56,78.28,123.91,1.3528,15974.2,357.18,12.78,29.93,-14.75,150.2,2.66,699912,131215,315713031,880258395,53.61,356394.34,24.35,48.7,39682167,81.08,3.8,2.72,253.82,6.56
4.12,6.69,-4.0,4.2,70.47,126.0,32.02,1.8345,16117.54,329.31,21.49,62.52,-18.98,80.48,5.31,772840,432909,120049009,244114543,84.07,894895.97,83.08,22.86,40009968,85.44,8.01,4.08,149.85,9.3
2.54,9.85,-0.68,-6.42,58.85,67.36,35.29,2.2936,652.47,328.73,9.41,42.43,-18.89,76.62,3.58,482482,77349,866895700,930682549,26.04,125997.99,75.76,55.48,94713854,23.9,9.13,1.09,60.74,2.04
7.7,5.48,-2.99,6.02,60.61,131.24,17.94,0.6368,22752.16,479.99,11.57,95.35,-14.94,192.33,4.23,888771,94223,812384988,315605500,84.16,918679.14,29.47,41.87,87301815,93.62,0.11,7.95,74.75,5.32
3.57,13.58,4.94,6.39,96.96,172.84,52.22,0.8419,40470.6,423.15,66.15,59.23,11.8,135.53,4.53,499292,576290,448029275,46146419,41.64,854670.26,71.88,65.73,30245193,36.24,1.18,3.26,449.39,2.99
0.91,19.57,4.78,-3.69,77.9,36.02,29.75,2.1635,31581.26,362.77,20.61,57.21,4.95,38.61,7.31,525159,475540,373577253,218434857,15.07,3111.97,83.44,38.95,82672459,21.44,8.38,9.14,438.85,7.72
0.19,19.82,0.18,2.85,92.41,121.21,83.71,2.9729,41471.5,475.87,32.77,77.11,-4.7,13.91,2.79,304343,295463,474234150,270692628,6.62,717354.37,30.58,93.41,12217845,80.98,2.53,2.43,268.92,9.46
4.33,16.43,2.86,1.93,40.34,70.63,108.83,0.8568,37253.28,183.32,68.86,72.52,7.07,31.56,9.3,565985,35405,270921836,450033216,55.48,898014.87,65.84,93.85,59167654,24.05,7.27,6.49,167.4,7.27
3.31,0.56,-3.66,1.39,86.18,42.68,170.81,2.9817,13150.84,440.48,99.54,36.14,-9.27,174.6,0.25,7787,989222,226633849,877862375,1.59,481426.33,64.21,2.45,7145785,60.37,9.2,9.91,266.02,3.47
6.57,16.41,2.18,4.61,16.39,80.53,159.56,1.0101,36533.32,496.51,94.73,68.13,14.78,141.16,4.4,170744,115482,845655744,376284610,19.78,837896.3,40.14,27.19,75433196,68.43,5.35,7.51,348.32,2.59
2.66,0.63,-2.03,-4.46,22.49,159.41,162.84,1.1494,32151.52,190.0,18.51,73.15,-10.57,71.66,0.12,568047,148239,165037037,242109906,20.59,86426.37,21.15,21.06,27370961,41.66,4.52,1.58,282.41,2.88
2.07,15.94,4.98,1.92,30.95,30.9,71.75,2.612,36471.57,183.45,74.41,95.19,-8.99,40.49,1.9,199610,204425,292028408,645534905,32.03,941437.05,58.41,88.79,80960277,91.63,7.81,6.15,2.46,6.36
6.87,16.93,0.09,-8.64,87.16,70.76,52.66,1.6055,43208.76,83.06,45.81,25.04,-17.87,127.92,3.71,70252,546147,497418094,277799871,27.02,382726.34,71.76,45.94,19419340,24.6,5.94,1.55,342.95,1.99
5.07,13.93,-3.81,-1.56,15.37,17.16,36.06,2.5553,4960.74,216.62,92.68,62.92,-16.92,34.4,7.71,338117,264027,632859716,169056173,35.02,71501.82,14.4,58.78,82088406,30.88,9.02,3.67,7.81,0.31
8.72,5.05,-4.07,3.66,94.16,116.19,190.52,2.0808,32034.12,56.18,89.15,15.57,4.98,14.42,4.14,273498,463132,922340252,989929350,90.25,881554.78,8.71,61.32,31609867,9.78,7.99,7.65,10.74,5.04
9.73,1.39,1.38,-8.76,62.89,28.5,127.13,0.6165,13809.81,495.61,16.37,16.76,-5.87,145.37,0.37,145118,180959,460336032,312348767,12.71,608676.33,74.11,98.85,98576777,5.8,3.0,1.98,141.51,1.97
1.55,16.22,-2.69,-6.63,40.92,6.15,173.03,0.8915,44163.95,192.02,46.21,82.25,6.64,81.37,0.48,507942,807164,500579589,578742372,62.03,439553.0,74.73,69.44,32558270,60.91,8.34,8.81,118.48,4.9
1.96,2.42,-1.9,6.06,96.76,41.72,122.65,2.3952,3169.21,91.71,12.12,9.79,-5.38,14.97,1.56,774870,641901,49699012,381374058,69.38,17271.06,65.4,59.64,27252805,53.07,3.63,2.58,343.25,2.4
9.55,9.95,2.82,5.86,55.33,124.74,61.48,1.975,40729.96,362.47,89.49,24.11,2.06,156.58,0.04,683798,668776,57820148,217665316,12.47,999429.53,17.38,1.86,7746539,75.94,1.76,1.23,289.62,6.13
4.9,5.34,4.13,0.41,69.88,179.01,74.28,2.515,23311.16,204.72,17.35,75.15,-11.17,186.64,3.08,570406,726088,178758308,46768545,81.36,544288.8,69.28,66.25,49628984,29.38,9.7,9.91,23.28,0.2
8.46,18.28,-2.09,2.12,33.64,120.74,192.33,2.7316,3668.16,224.9,32.56,13.62,1.89,190.95,1.78,555542,513542,937737362,628322385,63.55,445030.01,58.58,37.96,95072322,7.46,7.23,9.34,10.35,5.38
2.01,8.68,-3.69,-0.79,4.0,92.96,108.8,2.5748,8446.88,248.24,81.23,19.06,13.47,72.74,3.52,499431,645987,113526774,14684492,0.21,35763.39,67.93,59.1,24196405,11.64,5.77,7.29,347.75,8.71
5.08,0.51,3.86,-0.71,38.52,128.95,62.35,0.8741,26421.01,90.4,46.35,96.54,13.33,111.02,8.76,227109,680442,7862128,952953966,31.51,298347.68,9.04,27.36,85243096,6.19,0.62,9.53,494.05,6.68
0.41,7.01,3.17,-2.44,85.87,25.49,67.48,1.2317,37848.15,261.45,50.42,90.49,6.56,39.05,0.38,464436,753279,119192551,225510158,13.53,237901.79,73.24,70.22,3507410,96.25,6.65,9.87,392.99,9.55
6.98,7.27,-4.12,2.45,13.21,138.1,106.35,2.6691,33187.92,123.23,45.74,36.5,-4.2,1.77,6.06,706546,941283,66116058,69602379,68.76,817438.62,97.27,16.51,97693939,65.3,4.9,1.79,249.4,2.93
8.61,2.9,1.64,-8.11,19.55,98.99,193.43,1.4286,44898.37,364.46,15.49,60.91,1.6,199.21,2.88,103299,849461,603730506,224272991,42.77,70324.83,71.35,6.55,52456899,52.63,7.4,1.92,24.95,8.74
0.99,5.83,-3.79,-0.75,46.22,116.55,135.39,2.191,46886.6,66.86,96.62,8.47,-6.99,48.22,7.27,696561,258780,657368337,944334238,27.76,420082.38,31.32,22.5,92671456,77.74,8.47,1.32,74.57,0.77
4.18,6.44,-1.16,-0.9,66.69,78.92,66.76,2.6511,15978.75,308.07,51.06,61.08,17.43,43.57,8.43,311146,877580,180667346,325477917,38.82,675759.19,37.4,87.31,1980898,92.65,0.85,1.5,390.96,2.16
4.93,9.24,-0.26,4.3,40.74,89.19,141.1,1.4055,14843.51,64.03,6.05,31.49,-0.9,98.65,4.3,279343,849491,203844438,62739117,23.69,691399.02,39.58,24.8,11271416,54.18,9.53,5.81,24.7,0.14
8.65,6.45,3.35,-3.81,82.85,93.68,20.95,2.1352,44611.69,398.93,59.82,86.77,16.26,73.22,5.07,331940,979062,821516271,574930976,95.28,788319.97,96.43,78.38,42250384,60.29,5.38,4.15,181.96,8.08
0.39,1.51,-4.11,4.82,99.9,27.2,105.86,0.0668,20997.47,194.62,55.32,0.0,0.69,101.73,2.6,578842,89005,656170830,619881624,2.51,964190.93,86.28,36.73,61042921,69.33,1.77,4.84,483.01,9.38
8.25,5.06,-4.08,-2.52,10.74,137.64,198.42,1.0376,17753.22,59.55,40.89,31.65,-7.31,29.0,7.9,322860,905452,105046115,491178030,90.9,627669.0,57.38,68.27,8045681,11.47,6.73,3.47,197.38,4.75
0.77,10.77,4.56,-5.43,90.59,35.13,152.18,2.4917,27866.47,51.45,95.07,60.28,1.46,153.41,7.26,239854,352254,389979620,696306248,14.91,601232.82,29.84,10.67,17501283,10.56,0.89,6.85,163.54,0.54
5.43,13.18,0.94,1.23,2.24,56.37,191.38,2.9544,41707.3,112.26,8.53,35.98,3.49,158.72,9.57,156374,307528,834908083,262730973,3.77,952320.72,50.62,32.11,6797985,15.37,4.51,0.56,77.43,6.39
7.09,9.8,-3.33,8.06,18.83,172.61,59.75,0.7003,30003.28,439.43,14.03,66.75,0.62,96.56,4.52,477739,29853,952632547,499816586,75.92,644541.91,77.24,94.78,79505114,33.82,5.07,6.49,238.59,0.73
7.44,18.51,-2.13,-3.69,2.98,170.22,32.84,1.8634,39080.7,158.95,77.54,59.18,-13.37,159.31,2.88,405252,642069,599540583,523172098,84.27,184799.3,37.98,19.76,76254728,37.45,1.66,2.36,484.5,7.0
8.12,17.2,4.64,3.19,56.78,169.02,101.4,2.5416,12410.0,423.0,78.49,83.02,7.66,193.54,5.57,937024,26032,764994564,510434510,20.38,383464.98,57.34,19.5,76359366,98.39,0.25,2.86,98.89,7.53
3.4,10.18,3.13,-5.42,57.61,174.03,33.34,2.4,33443.56,297.21,30.61,33.53,8.53,48.5,9.06,657010,114133,158997571,807751997,72.02,770285.48,73.41,19.9,25471786,97.34,6.48,4.21,99.91,2.56
7.15,6.23,0.81,-0.58,43.91,140.4,150.86,0.0398,6921.11,290.5,11.32,93.0,14.86,19.76,9.63,781772,662734,357466237,805285231,98.73,640330.43,39.02,63.7,31812806,73.67,1.7,0.08,165.34,0.52
4.76,9.87,-3.98,-9.98,34.22,78.39,140.6,0.9413,42432.81,228.18,38.78,25.26,-1.41,86.33,2.5,732088,45526,719973803,134517193,74.99,796111.09,74.16,88.12,39552451,94.18,3.8,1.46,400.1,3.78
6.82,11.65,2.35,9.95,70.95,111.8,92.23,1.8971,23967.07,384.76,75.6,0.42,7.28,78.54,5.74,49267,981940,955585233,847459859,98.72,554806.47,61.59,29.56,7045361,96.91,6.07,4.1,95.43,1.74
1.07,9.63,-3.66,6.52,65.85,182.29,2.74,2.1365,37316.71,84.37,86.4,45.11,4.1,130.41,7.82,650451,507865,370164417,35840468,27.76,929248.58,8.27,92.21,51680811,77.74,4.44,9.75,46.33,9.79
2.79,16.12,-1.29,9.26,86.57,199.96,136.4,2.3445,6160.48,296.38,9.5,70.24,-6.86,99.61,2.43,128551,558860,175251310,49803622,46.35,941907.9,73.26,6.65,90937064,90.67,0.9,0.85,272.65,3.02
8.34,5.82,-2.25,-9.42,89.11,27.92,27.74,2.4989,37530.92,181.18,52.5,43.33,12.52,127.92,8.75,73697,409942,478511662,521967512,93.73,77275.34,23.26,20.56,81981538,80.98,5.12,7.91,444.08,0.04
8.39,19.08,-3.09,-3.8,71.44,124.8,138.91,2.851,15578.91,454.72,74.14,48.14,9.86,145.48,3.89,566346,217615,630464679,838011249,11.09,583214.78,14.08,18.68,82490080,2.95,7.49,3.94,200.68,3.71
5.34,11.17,1.08,-9.26,27.4,72.87,159.42,0.5712,40104.87,136.01,88.88,80.4,-3.93,155.53,4.73,326623,526738,206725616,873325179,13.8,448150.8,67.47,66.68,9553051,6.89,8.56,2.04,281.1,7.25
2.64,15.11,-0.43,-5.5,99.72,64.84,44.88,1.0562,5862.04,150.93,42.42,56.66,-18.35,22.53,7.53,312013,42562,375695046,955686915,26.33,387105.34,64.45,49.29,88985095,44.68,0.91,6.34,266.75,5.62
2.87,6.53,-0.64,-4.33,54.38,138.85,59.38,0.1577,43302.92,290.9,48.3,34.8,8.05,133.75,7.59,696872,721820,555677039,728706350,75.5,760247.03,19.79,65.33,95815684,43.9,7.24,0.45,360.18,0.31
3.21,15.14,3.88,-9.51,43.98,100.45,146.58,1.0486,7491.14,312.59,12.84,87.29,2.0,130.47,1.81,655206,535371,295156144,694757571,42.13,174680.13,44.85,99.75,59643564,76.95,1.18,5.38,247.0,2.46
